Fri Mar 26 15:16:44 PDT 2021
Enter the minimum radius (cm): r=5.000000e-01
Enter the diffusion coefficient (cm^2/s): D=1.560000e+00
Enter the domain width/height (cm): L=2.025000e+01
Enter the reaction rate (Hz): kap=1.000000e+01
Enter the number of trials: niter=250

running simulation...
simulation complete!

Printing Inputs...
r=5.000000e-01
D=1.560000e+00
L=2.025000e+01
kappa=1.000000e+01
dt=1.000000e-05

Printing Outputs...
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,
-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,2.47000e+00,2.47000e+00,2.47000e+00,2.47000e+00,2.47000e+00,2.47000e+00,2.47000e+00,2.47000e+00,6.90800e-01,5.61140e-01,5.61140e-01,5.61140e-01,5.61140e-01,5.61140e-01,5.61140e-01,5.61140e-01,5.61140e-01,5.61140e-01,5.61140e-01,4.19980e-01,4.19980e-01,4.19980e-01,4.19980e-01,4.19980e-01,4.19980e-01,2.04950e-01,2.04950e-01,2.04950e-01,2.04950e-01,2.04950e-01,2.04950e-01,2.04950e-01,2.04950e-01,2.04950e-01,2.04950e-01,2.04950e-01,8.09300e-02,8.09300e-02,8.09300e-02,8.09300e-02,8.09300e-02,8.09300e-02,8.09300e-02,8.09300e-02,6.45400e-02,6.45400e-02,6.45400e-02,6.45400e-02,6.45400e-02,6.45400e-02,6.45400e-02,6.45400e-02,6.45400e-02,6.45400e-02,6.45400e-02,6.45400e-02,6.45400e-02,6.45400e-02,6.45400e-02,6.45400e-02,2.79500e-02,
-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,1.18204e+00,1.18204e+00,1.18204e+00,1.18204e+00,1.18204e+00,1.18204e+00,1.18204e+00,1.18204e+00,1.18204e+00,1.18204e+00,1.18204e+00,1.18204e+00,1.18204e+00,1.18204e+00,1.18204e+00,1.18204e+00,1.18204e+00,1.18204e+00,1.18204e+00,1.18204e+00,1.18204e+00,1.18204e+00,1.18204e+00,1.18204e+00,1.18204e+00,1.18204e+00,1.18204e+00,4.98210e-01,4.98210e-01,4.98210e-01,4.98210e-01,4.98210e-01,4.98210e-01,4.98210e-01,4.98210e-01,4.74590e-01,4.74590e-01,4.74590e-01,1.09800e-01,1.09800e-01,1.09800e-01,1.09800e-01,1.09800e-01,1.09800e-01,1.09800e-01,1.09800e-01,1.09800e-01,1.09800e-01,1.09800e-01,1.09800e-01,1.09800e-01,1.09800e-01,1.09800e-01,2.03200e-02,2.03200e-02,2.03200e-02,2.03200e-02,2.03200e-02,2.03200e-02,2.03200e-02,2.03200e-02,
-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,8.15930e-01,8.15930e-01,8.15930e-01,8.15930e-01,8.15930e-01,8.15930e-01,8.15930e-01,8.15930e-01,8.15930e-01,8.15930e-01,8.15930e-01,8.15930e-01,8.15930e-01,4.25900e-02,4.25900e-02,4.25900e-02,4.25900e-02,4.25900e-02,4.25900e-02,4.25900e-02,4.25900e-02,4.25900e-02,4.25900e-02,4.25900e-02,4.25900e-02,4.25900e-02,4.25900e-02,4.25900e-02,4.25900e-02,4.25900e-02,4.25900e-02,4.25900e-02,4.25900e-02,4.25900e-02,4.25900e-02,4.25900e-02,3.42500e-02,3.42500e-02,3.42500e-02,3.42500e-02,3.42500e-02,3.42500e-02,3.42500e-02,3.42500e-02,3.42500e-02,3.42500e-02,3.42500e-02,3.42500e-02,3.42500e-02,3.42500e-02,3.42500e-02,3.42500e-02,3.42500e-02,3.42500e-02,3.42500e-02,3.42500e-02,3.42500e-02,3.42500e-02,3.42500e-02,
-9.99900e+03,1.41930e-01,1.41930e-01,1.41930e-01,1.41930e-01,1.41930e-01,1.41930e-01,1.41930e-01,1.41930e-01,1.41930e-01,1.41930e-01,1.41930e-01,1.41930e-01,1.41930e-01,1.41930e-01,1.41930e-01,1.41930e-01,1.41930e-01,1.41930e-01,1.41930e-01,1.41930e-01,1.41930e-01,1.41930e-01,1.41930e-01,1.41930e-01,1.41930e-01,1.41930e-01,1.41930e-01,1.41930e-01,1.41930e-01,1.41930e-01,1.41930e-01,1.41930e-01,1.41930e-01,5.98500e-02,5.98500e-02,5.98500e-02,5.98500e-02,5.98500e-02,5.98500e-02,5.98500e-02,5.98500e-02,5.98500e-02,5.98500e-02,5.98500e-02,5.98500e-02,5.98500e-02,5.98500e-02,5.98500e-02,5.98500e-02,5.98500e-02,5.98500e-02,5.98500e-02,5.98500e-02,5.19600e-02,5.19600e-02,5.19600e-02,5.19600e-02,5.19600e-02,3.57000e-02,3.57000e-02,3.57000e-02,3.57000e-02,3.57000e-02,2.34600e-02,2.34600e-02,2.34600e-02,2.34600e-02,2.34600e-02,2.34600e-02,
-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,2.43258e+00,2.43258e+00,2.43258e+00,2.43258e+00,2.43258e+00,2.43258e+00,2.43258e+00,2.43258e+00,2.43258e+00,2.43258e+00,2.43258e+00,2.43258e+00,2.00360e-01,2.00360e-01,2.00360e-01,2.00360e-01,2.00360e-01,2.00360e-01,1.24380e-01,1.24380e-01,1.24380e-01,1.24380e-01,1.24380e-01,1.24380e-01,1.24380e-01,1.24380e-01,1.24380e-01,1.24380e-01,1.24380e-01,1.24380e-01,1.24380e-01,1.24380e-01,6.36100e-02,6.36100e-02,6.36100e-02,6.36100e-02,6.36100e-02,6.36100e-02,6.36100e-02,6.36100e-02,6.36100e-02,6.36100e-02,6.36100e-02,6.36100e-02,8.77000e-03,8.77000e-03,8.77000e-03,8.77000e-03,8.77000e-03,8.77000e-03,8.77000e-03,8.77000e-03,8.77000e-03,8.77000e-03,8.77000e-03,8.77000e-03,8.77000e-03,8.77000e-03,8.77000e-03,8.77000e-03,
-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,8.69350e-01,8.69350e-01,8.69350e-01,8.69350e-01,8.69350e-01,8.69350e-01,8.69350e-01,8.69350e-01,8.69350e-01,8.69350e-01,8.69350e-01,8.69350e-01,8.69350e-01,7.24750e-01,7.24750e-01,7.24750e-01,7.24750e-01,7.24750e-01,7.24750e-01,1.61060e-01,1.61060e-01,4.59600e-02,4.59600e-02,4.59600e-02,4.59600e-02,4.59600e-02,4.59600e-02,4.59600e-02,4.59600e-02,4.59600e-02,4.59600e-02,4.59600e-02,4.59600e-02,4.59600e-02,4.59600e-02,4.59600e-02,4.59600e-02,4.59600e-02,4.59600e-02,4.59600e-02,4.59600e-02,4.59600e-02,4.59600e-02,4.59600e-02,4.59600e-02,4.59600e-02,4.59600e-02,4.59600e-02,4.59600e-02,4.59600e-02,4.59600e-02,4.59600e-02,4.59600e-02,4.59600e-02,4.59600e-02,4.59600e-02,4.59600e-02,4.59600e-02,4.59600e-02,4.59600e-02,4.59600e-02,4.59600e-02,4.59600e-02,4.59600e-02,4.59600e-02,
-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,2.07840e-01,2.07840e-01,2.07840e-01,2.07840e-01,2.07840e-01,2.07840e-01,2.07840e-01,2.07840e-01,2.07840e-01,2.07840e-01,2.07840e-01,2.07840e-01,2.07840e-01,2.07840e-01,2.07840e-01,2.07840e-01,2.07840e-01,2.07840e-01,9.66000e-02,9.66000e-02,9.66000e-02,9.66000e-02,9.66000e-02,9.66000e-02,9.66000e-02,9.66000e-02,9.66000e-02,9.66000e-02,9.66000e-02,9.66000e-02,9.66000e-02,9.66000e-02,9.66000e-02,9.66000e-02,9.66000e-02,9.66000e-02,9.66000e-02,9.66000e-02,9.66000e-02,9.66000e-02,9.66000e-02,9.66000e-02,9.66000e-02,9.66000e-02,9.66000e-02,9.66000e-02,9.66000e-02,9.66000e-02,9.66000e-02,9.66000e-02,9.66000e-02,9.66000e-02,6.74000e-03,6.74000e-03,6.74000e-03,6.74000e-03,6.74000e-03,6.74000e-03,6.74000e-03,6.74000e-03,6.74000e-03,6.74000e-03,6.74000e-03,6.74000e-03,6.74000e-03,
-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,3.22590e-01,3.22590e-01,3.22590e-01,3.22590e-01,3.22590e-01,3.22590e-01,3.22590e-01,3.22590e-01,3.22590e-01,3.22590e-01,3.22590e-01,3.22590e-01,3.22590e-01,3.22590e-01,3.22590e-01,3.22590e-01,3.22590e-01,3.22590e-01,3.22590e-01,3.22590e-01,3.22590e-01,3.22590e-01,3.22590e-01,3.22590e-01,3.22590e-01,3.22590e-01,3.22590e-01,3.22590e-01,3.22590e-01,3.22590e-01,3.18660e-01,3.18660e-01,1.30530e-01,1.57800e-02,1.57800e-02,1.57800e-02,1.57800e-02,1.57800e-02,1.57800e-02,1.57800e-02,1.57800e-02,1.57800e-02,1.57800e-02,1.57800e-02,1.57800e-02,1.57800e-02,1.57800e-02,1.57800e-02,1.57800e-02,1.57800e-02,1.57800e-02,1.57800e-02,1.57800e-02,1.57800e-02,1.57800e-02,1.57800e-02,1.57800e-02,1.57800e-02,1.57800e-02,1.57800e-02,1.57800e-02,
-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,1.98649e+00,1.98649e+00,1.98649e+00,1.98649e+00,1.98649e+00,9.31530e-01,9.31530e-01,9.31530e-01,9.31530e-01,7.15820e-01,7.15820e-01,7.15820e-01,7.15820e-01,7.15820e-01,7.15820e-01,7.15820e-01,5.58490e-01,5.58490e-01,5.58490e-01,5.58490e-01,5.58490e-01,5.58490e-01,5.58490e-01,5.58490e-01,5.58490e-01,5.58490e-01,5.58490e-01,5.58490e-01,4.03560e-01,1.38120e-01,1.38120e-01,1.38120e-01,1.38120e-01,1.38120e-01,1.38120e-01,1.38120e-01,1.38120e-01,1.38120e-01,1.38120e-01,5.76400e-02,5.76400e-02,5.76400e-02,5.76400e-02,5.76400e-02,5.76400e-02,5.76400e-02,5.76400e-02,5.76400e-02,5.76400e-02,5.76400e-02,5.76400e-02,1.85000e-02,1.85000e-02,1.85000e-02,1.85000e-02,1.85000e-02,1.85000e-02,1.85000e-02,1.85000e-02,1.85000e-02,1.85000e-02,1.85000e-02,
-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,-9.99900e+03,1.85073e+00,1.85073e+00,1.85073e+00,1.85073e+00,1.19149e+00,1.19149e+00,2.88400e-02,2.88400e-02,2.88400e-02,2.88400e-02,2.88400e-02,2.88400e-02,2.88400e-02,2.88400e-02,2.88400e-02,2.88400e-02,2.88400e-02,2.88400e-02,2.88400e-02,2.88400e-02,2.88400e-02,2.88400e-02,2.88400e-02,2.88400e-02,2.88400e-02,2.88400e-02,2.88400e-02,2.88400e-02,2.88400e-02,2.88400e-02,2.88400e-02,2.88400e-02,1.21200e-02,1.21200e-02,1.21200e-02,1.21200e-02,1.21200e-02,1.21200e-02,1.21200e-02,3.03000e-03,3.03000e-03,3.03000e-03,3.03000e-03,3.03000e-03,3.03000e-03,3.03000e-03,3.03000e-03,3.03000e-03,3.03000e-03,3.03000e-03,3.03000e-03,3.03000e-03,3.03000e-03,3.03000e-03,3.03000e-03,3.03000e-03,3.03000e-03,3.03000e-03,3.03000e-03,
